Serial No,Location,Apartment_size,Bed,Bath,Price,Area,Area_code
160,"Mohammadpur, Dhaka",720,2,2,15000,Mohammadpur,46
161,"Block C, Khilgaon, Dhaka",750,2,2,14000,Khilgaon,33
162,"Block G, Bashundhara R-A, Dhaka",1500,3,3,25000,Bashundhara,10
163,"Sector 14, Uttara, Dhaka",900,2,2,18000,Uttara,72
164,"Block D, Mansurabad Housing Society, Adabor, Dhaka",800,2,2,15000,Adabor,0
165,"North Azampur, Dakshin Khan, Dhaka",900,3,2,17000,Dakshin Khan,12
166,"Block J, Bashundhara R-A, Dhaka",1150,3,3,20000,Bashundhara,10
167,"Sector 5, Uttara, Dhaka",300,1,1,15000,Uttara,72
168,"Khilgaon, Dhaka",650,2,2,15000,Khilgaon,33
169,"Wari, Sutrapur, Dhaka",650,2,1,17500,Sutrapur,67
170,"Nayatola, Maghbazar, Dhaka",1250,3,3,20000,Maghbazar,40
171,"Moushair, Dakshin Khan, Dhaka",1200,3,2,14000,Dakshin Khan,12
172,"Mirpur, Dhaka",1150,3,3,18000,Mirpur,44
173,"Mirpur, Dhaka",1150,3,3,18000,Mirpur,44
174,"Block E, South Banasree Project, Banasree, Dhaka",550,2,2,10000,Banasree,5
175,"Mohammadpur, Dhaka",650,2,2,15000,Mohammadpur,46
176,"Block F, South Banasree Project, Banasree, Dhaka",1100,3,2,17000,Banasree,5
177,"Block F, South Banasree Project, Banasree, Dhaka",1100,3,2,16000,Banasree,5
178,"Block D, South Banasree Project, Banasree, Dhaka",1100,3,3,16000,Banasree,5
179,"Tikatuli, Sutrapur, Dhaka",780,2,2,16000,Sutrapur,67
180,"Block C, Bochila City Developers Ltd, Bochila, Mohammadpur, Dhaka",1650,4,4,20000,Mohammadpur,46
181,"Block E, Section 12, Mirpur, Dhaka",650,2,2,12000,Mirpur,44
182,"South Kallyanpur, Kallyanpur, Mirpur, Dhaka",1000,3,2,16000,Mirpur,44
183,"Zafrabad, Hazaribag, Dhaka",700,2,2,17000,Zafrabad,74
184,"Bochila Garden City, Bochila, Mohammadpur, Dhaka",750,2,2,10000,Mohammadpur,46
185,"Bochila, Mohammadpur, Dhaka",750,2,2,10000,Mohammadpur,46
186,"Block C, Bashundhara R-A, Dhaka",1800,3,4,30000,Bashundhara,10
187,"Block C, Section 12, Mirpur, Dhaka",650,2,2,11000,Mirpur,44
188,"Section 1, Mirpur, Dhaka",1150,3,3,17000,Mirpur,44
189,"East Kazipara, Mirpur, Dhaka",700,2,2,12000,Mirpur,44
190,"Tikatuli, Sutrapur, Dhaka",650,2,2,15000,Sutrapur,67
191,"Shah Ali Bag, Section 1, Mirpur, Dhaka",970,3,2,17000,Mirpur,44
192,"PC Culture Housing, Mohammadpur, Dhaka",600,2,2,12000,Mohammadpur,46
193,"Gulshan 2, Gulshan, Dhaka",3450,4,4,150000,Gulshan,18
194,"Block G, Bashundhara R-A, Dhaka",800,2,2,18000,Bashundhara,10
195,"Block B, Aftab Nagar, Dhaka",1180,3,3,25000,Aftab Nagar,1
196,"Turag, Dhaka",1400,3,3,18000,Turag,70
197,"Banani, Dhaka",1700,2,2,45000,Banani,4
198,"Block A, Bashundhara R-A, Dhaka",1887,3,4,34000,Bashundhara,10
199,"Hatirpool, Dhaka",1400,3,3,28000,Hatirpool,19
200,"Mohammadpur, Dhaka",1390,3,2,22000,Mohammadpur,46
201,"Gulshan 2, Gulshan, Dhaka",3450,4,4,150000,Gulshan,18
202,"Nadda, Dhaka",250,1,1,11000,Nadda,49
203,"Block C, Dhaka Uddan, Mohammadpur, Dhaka",800,3,2,15000,Mohammadpur,46
204,"Ibrahimpur, Dhaka",950,3,2,15000,Ibrahimpur,21
205,"Badda, Dhaka",1000,2,2,18000,Badda,3
206,"Block C, Section 10, Mirpur, Dhaka",650,2,2,14500,Mirpur,44
207,"Block A, Section 10, Mirpur, Dhaka",650,2,2,12000,Mirpur,44
208,"Section 15, Mirpur, Dhaka",1575,3,3,25000,Mirpur,44
209,"Badda, Dhaka",1000,2,2,18000,Badda,3
210,"Pirerbag, Mirpur, Dhaka",1200,3,3,15000,Mirpur,44
211,"Block A, Rajuk Uttara Apartment Project, Sector 18, Uttara, Dhaka",1654,3,4,14000,Uttara,72
212,"Section 12, Mirpur, Dhaka",1600,3,3,30000,Mirpur,44
213,"Section 12, Mirpur, Dhaka",1600,3,3,30000,Mirpur,44
214,"Section 1, Mirpur, Dhaka",800,3,2,10500,Mirpur,44
215,"Sobhanbagh, Tejgaon, Dhaka",1100,3,3,30000,Tejgaon,69
216,"West Shewrapara, Mirpur, Dhaka",1000,3,2,15000,Mirpur,44
217,"Block K, Baridhara, Dhaka",3000,3,4,220000,Baridhara,8
218,"Avenue 5, Block C, Section 11, Mirpur, Dhaka",650,2,2,10000,Mirpur,44
219,"Nikunja 2, Nikunja, Dhaka",800,2,2,17000,Nikunja,52
220,"1st Colony, Mirpur, Dhaka",800,2,2,13500,Mirpur,44
221,"East Nakhalpara, Tejgaon, Dhaka",550,2,1,15500,Tejgaon,69
222,"Kachukhet, Dhaka",850,2,2,13200,Kachukhet,24
223,"Block B, Section 11, Mirpur, Dhaka",650,2,2,11000,Mirpur,44
224,"Block G, Section 1, Mirpur, Dhaka",700,2,2,13000,Mirpur,44
225,"Block D, Section 12, Mirpur, Dhaka",650,2,2,12500,Mirpur,44
226,"Block K, South Banasree Project, Banasree, Dhaka",1350,3,3,20000,Banasree,5
227,"Block K, South Banasree Project, Banasree, Dhaka",1000,3,2,14000,Banasree,5
228,"Block B, Nobodoy Housing Society, Mohammadpur, Dhaka",800,2,2,16000,Mohammadpur,46
229,"Avenue 11, Mirpur DOHS, Mirpur, Dhaka",2200,3,3,45000,Mirpur,44
230,"Avenue 11, Mirpur DOHS, Mirpur, Dhaka",2200,3,3,45000,Mirpur,44
231,"Matikata, Cantonment, Dhaka",680,2,2,12000,Cantonment,11
232,"Dhanmondi, Dhaka",1500,4,4,33000,Dhanmondi,14
233,"Taltola, Agargaon, Dhaka",1150,3,3,17000,Taltola,68
234,"Taltola, Agargaon, Dhaka",1150,3,3,18000,Taltola,68
235,"Tikatuli, Sutrapur, Dhaka",1000,2,2,22000,Sutrapur,67
236,"Tikatuli, Sutrapur, Dhaka",650,2,2,15000,Sutrapur,67
237,"Nikunja 2, Nikunja, Dhaka",750,2,2,18000,Nikunja,52
238,"2nd Colony, Mirpur, Dhaka",1500,3,3,25000,Mirpur,44
239,"1st Colony, Mirpur, Dhaka",700,2,2,12000,Mirpur,44
240,"Dhanmondi, Dhaka",1150,3,3,26000,Dhanmondi,14
241,"Block B, Dhaka Uddan, Mohammadpur, Dhaka",1100,3,3,14000,Mohammadpur,46
242,"Block B, Dhaka Uddan, Mohammadpur, Dhaka",1100,3,3,14000,Mohammadpur,46
243,"Block B, Dhaka Uddan, Mohammadpur, Dhaka",720,2,2,13000,Mohammadpur,46
244,"Block B, Dhaka Uddan, Mohammadpur, Dhaka",720,2,2,13000,Mohammadpur,46
245,"Block B, Dhaka Uddan, Mohammadpur, Dhaka",720,2,2,13000,Mohammadpur,46
246,"Block B, Dhaka Uddan, Mohammadpur, Dhaka",720,2,2,13000,Mohammadpur,46
247,"Block B, Dhaka Uddan, Mohammadpur, Dhaka",720,2,2,12000,Mohammadpur,46
248,"Block B, Dhaka Uddan, Mohammadpur, Dhaka",720,2,2,12000,Mohammadpur,46
249,"Block B, Dhaka Uddan, Mohammadpur, Dhaka",1100,3,3,14000,Mohammadpur,46
250,"Block B, Dhaka Uddan, Mohammadpur, Dhaka",1100,3,3,14000,Mohammadpur,46
251,"Block B, Dhaka Uddan, Mohammadpur, Dhaka",1100,3,3,14000,Mohammadpur,46
252,"Vashantek, Cantonment, Dhaka",650,2,2,12000,Cantonment,11
253,"Mirpur, Dhaka",950,2,2,14000,Mirpur,44
254,"Mirpur, Dhaka",1000,2,2,13000,Mirpur,44
255,"Janata Housing, Sher- E- Banglanagar, West Agargaon, Agargaon, Dhaka",850,2,2,15000,Sher- E- Banglanagar,63
256,"Janata Housing, Sher- E- Banglanagar, West Agargaon, Agargaon, Dhaka",850,2,2,14000,Sher- E- Banglanagar,63
257,"Janata Housing, Sher- E- Banglanagar, West Agargaon, Agargaon, Dhaka",850,2,2,14000,Sher- E- Banglanagar,63
258,"Avenue 5, Block C, Section 11, Mirpur, Dhaka",650,2,2,10000,Mirpur,44
259,"Avenue 5, Block C, Section 11, Mirpur, Dhaka",650,2,2,10000,Mirpur,44
260,"Khilgaon, Dhaka",500,2,1,14000,Khilgaon,33
261,"2nd Colony, Mirpur, Dhaka",1340,3,4,25000,Mirpur,44
262,"Matikata, Cantonment, Dhaka",500,2,1,10000,Cantonment,11
263,"Avenue 5, Block C, Section 11, Mirpur, Dhaka",650,2,2,10000,Mirpur,44
264,"West Shewrapara, Mirpur, Dhaka",800,2,2,14000,Mirpur,44
265,"Dakkhin Paikpara, Mirpur, Dhaka",500,1,1,8500,Mirpur,44
266,"Avenue 3, Mirpur DOHS, Mirpur, Dhaka",2200,3,3,40000,Mirpur,44
267,"Natun Bazar, Badda, Dhaka",1100,3,3,22000,Badda,3
268,"Matikata, Cantonment, Dhaka",680,2,2,12000,Cantonment,11
269,"Natun Bazar, Badda, Dhaka",1200,3,3,25000,Badda,3
270,"Block B, Dhaka Uddan, Mohammadpur, Dhaka",720,2,2,13000,Mohammadpur,46
271,"Block B, Dhaka Uddan, Mohammadpur, Dhaka",700,2,2,13000,Mohammadpur,46
272,"Block B, Dhaka Uddan, Mohammadpur, Dhaka",700,2,2,13000,Mohammadpur,46
273,"Kallyanpur, Mirpur, Dhaka",950,2,2,14000,Mirpur,44
274,"Block B, Dhaka Uddan, Mohammadpur, Dhaka",700,2,2,13000,Mohammadpur,46
275,"Mirpur, Dhaka",1270,3,3,18000,Mirpur,44
276,"Dhanmondi, Dhaka",1450,3,3,26000,Dhanmondi,14
277,"Block B, Dhaka Uddan, Mohammadpur, Dhaka",700,2,2,13000,Mohammadpur,46
278,"Block B, Dhaka Uddan, Mohammadpur, Dhaka",700,2,2,13000,Mohammadpur,46
279,"Dakkhin Paikpara, Paikpara, Mirpur, Dhaka",700,2,2,13000,Mirpur,44
280,"Janata Housing, Sher- E- Banglanagar, West Agargaon, Agargaon, Dhaka",850,2,2,15000,Sher- E- Banglanagar,63
281,"Dakkhin Paikpara, Paikpara, Mirpur, Dhaka",500,2,1,8000,Mirpur,44
282,"Avenue 5, Block C, Section 11, Mirpur, Dhaka",650,2,2,11000,Mirpur,44
283,"Avenue 5, Block C, Section 11, Mirpur, Dhaka",650,2,2,10000,Mirpur,44
284,"Sector 14, Uttara, Dhaka",900,3,2,20500,Uttara,72
285,"Kallyanpur, Mirpur, Dhaka",1250,3,2,15000,Mirpur,44
286,"East Monipur, Mirpur, Dhaka",800,2,2,11000,Mirpur,44
287,"Avenue 5, Block C, Section 11, Mirpur, Dhaka",650,2,2,10000,Mirpur,44
288,"Avenue 5, Block C, Section 11, Mirpur, Dhaka",650,2,2,12000,Mirpur,44
289,"Avenue 5, Block C, Section 11, Mirpur, Dhaka",650,2,2,12000,Mirpur,44
290,"Lalbagh, Dhaka",700,2,1,17000,Lalbagh,37
291,"Block C, Khilgaon, Dhaka",600,2,2,15000,Khilgaon,33
292,"Gulbag, Malibagh, Dhaka",800,2,2,19000,Malibagh,41
293,"Mohakhali, Dhaka",500,2,1,15000,Mohakhali,45
294,"Janata Housing, Sher- E- Banglanagar, West Agargaon, Agargaon, Dhaka",850,2,2,14000,Sher- E- Banglanagar,63
295,"Mirpur, Dhaka",650,2,2,11000,Mirpur,44
296,"East Monipur, Mirpur, Dhaka",1000,3,3,15000,Mirpur,44
297,"Dhanmondi, Dhaka",1200,3,2,27000,Dhanmondi,14
298,"Block B, Dhaka Uddan, Mohammadpur, Dhaka",1000,3,2,14000,Mohammadpur,46
299,"Block B, Dhaka Uddan, Mohammadpur, Dhaka",700,2,2,13000,Mohammadpur,46
300,"Block B, Dhaka Uddan, Mohammadpur, Dhaka",700,2,2,13000,Mohammadpur,46
301,"Block B, Dhaka Uddan, Mohammadpur, Dhaka",700,2,2,13000,Mohammadpur,46
302,"Block B, Dhaka Uddan, Mohammadpur, Dhaka",700,2,2,13000,Mohammadpur,46
303,"Block B, Dhaka Uddan, Mohammadpur, Dhaka",700,2,2,13000,Mohammadpur,46
304,"Block A, Section 10, Mirpur, Dhaka",650,2,2,13000,Mirpur,44
305,"1st Colony, Mirpur, Dhaka",1100,3,3,20000,Mirpur,44
306,"1st Colony, Mirpur, Dhaka",1100,3,3,20000,Mirpur,44
307,"Bonolota Abashik Elaka, West Agargaon, Agargaon, Dhaka",1300,3,3,20000,Agargaon,2
308,"Gawair, Dakshin Khan, Dhaka",700,2,2,12000,Dakshin Khan,12
309,"Block B, Dhaka Uddan, Mohammadpur, Dhaka",1000,3,2,14000,Mohammadpur,46
310,"Shantibag, Malibagh, Dhaka",1000,3,2,25000,Malibagh,41
311,"Block B, Banasree, Dhaka",1800,4,4,35000,Banasree,5
312,"West Kazipara, Mirpur, Dhaka",650,2,2,12000,Mirpur,44
313,"Mohakhali, Dhaka",500,2,1,15000,Mohakhali,45
314,"Block B, Nobodoy Housing Society, Mohammadpur, Dhaka",800,2,2,14000,Mohammadpur,46
315,"Road No 11, Block C, Section 11, Mirpur, Dhaka",650,2,2,10000,Mirpur,44
316,"Mohammadpur, Dhaka",650,2,2,20000,Mohammadpur,46
317,"Block A, Section 10, Mirpur, Dhaka",650,2,2,12500,Mirpur,44
318,"Tilpapara Road, Tilpapara, Khilgaon, Dhaka",700,2,2,17000,Khilgaon,33
319,"Paribagh, Dhaka",1350,3,3,32000,Paribagh,55
320,"Block G, Banasree, Dhaka",1900,4,3,35000,Banasree,5
321,"Section 15, Mirpur, Dhaka",1575,3,3,22000,Mirpur,44
322,"Ibrahimpur, Dhaka",800,2,2,13000,Ibrahimpur,21
323,"Block A, Chandrima Model Town, Mohammadpur, Dhaka",700,2,2,11000,Mohammadpur,46
324,"Mirpur, Dhaka",1000,2,2,15000,Mirpur,44
325,"Block A, Chandrima Model Town, Mohammadpur, Dhaka",700,2,2,11000,Mohammadpur,46
326,"Block A, Chandrima Model Town, Mohammadpur, Dhaka",700,2,2,11000,Mohammadpur,46
327,"Suchona Model Town, Bochila, Mohammadpur, Dhaka",700,2,2,12000,Mohammadpur,46
328,"Suchona Model Town, Bochila, Mohammadpur, Dhaka",700,2,2,12000,Mohammadpur,46
329,"Block G, Banasree, Dhaka",1900,4,3,35000,Banasree,5
330,"Block G, Banasree, Dhaka",1900,4,3,35000,Banasree,5
331,"Kathalbagan, Dhaka",1075,3,3,25000,Kathalbagan,31
332,"Gawair, Dakshin Khan, Dhaka",700,2,2,12000,Dakshin Khan,12
333,"Gawair, Dakshin Khan, Dhaka",700,2,2,12000,Dakshin Khan,12
334,"Block E, Banasree, Dhaka",1970,3,4,45000,Banasree,5
335,"Suchona Model Town, Bochila, Mohammadpur, Dhaka",700,2,2,12000,Mohammadpur,46
336,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",600,2,1,13000,Dhanmondi,14
337,"Suchona Model Town, Bochila, Mohammadpur, Dhaka",700,2,2,12000,Mohammadpur,46
338,"Block A, Chandrima Model Town, Mohammadpur, Dhaka",700,2,2,11000,Mohammadpur,46
339,"Block G, Banasree, Dhaka",800,2,2,12000,Banasree,5
340,"Gawair, Dakshin Khan, Dhaka",500,2,1,10000,Dakshin Khan,12
341,"Ibrahimpur, Dhaka",850,2,2,18000,Ibrahimpur,21
342,"Block G, Banasree, Dhaka",1900,4,3,35000,Banasree,5
343,"Mohakhali, Dhaka",600,2,1,17000,Mohakhali,45
344,"Mohakhali, Dhaka",800,2,2,20000,Mohakhali,45
345,"Suchona Model Town, Bochila, Mohammadpur, Dhaka",700,2,2,12000,Mohammadpur,46
346,"Suchona Model Town, Bochila, Mohammadpur, Dhaka",700,2,2,12000,Mohammadpur,46
347,"Bonolota Abashik Elaka, West Agargaon, Agargaon, Dhaka",850,2,2,14000,Agargaon,2
348,"Block D, Section 15, Mirpur, Dhaka",1553,3,3,22000,Mirpur,44
349,"Gawair, Dakshin Khan, Dhaka",700,2,2,12000,Dakshin Khan,12
350,"Gawair, Dakshin Khan, Dhaka",700,2,2,12000,Dakshin Khan,12
351,"Gawair, Dakshin Khan, Dhaka",700,2,2,12000,Dakshin Khan,12
352,"Block D, Section 15, Mirpur, Dhaka",1872,3,3,25000,Mirpur,44
353,"Block E, Banasree, Dhaka",1970,3,4,45000,Banasree,5
354,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",700,2,2,12000,Dhanmondi,14
355,"Dhanmondi, Dhaka",1400,3,3,45000,Dhanmondi,14
356,"Wari, Sutrapur, Dhaka",1210,3,3,26000,Sutrapur,67
357,"Section 15, Mirpur, Dhaka",1575,3,3,22000,Mirpur,44
358,"Section 15, Mirpur, Dhaka",1700,3,3,22000,Mirpur,44
359,"Mirpur, Dhaka",800,2,2,11000,Mirpur,44
360,"Kallyanpur, Mirpur, Dhaka",700,2,2,12000,Mirpur,44
361,"Section 12, Mirpur, Dhaka",1600,3,3,30000,Mirpur,44
362,"Section 12, Mirpur, Dhaka",1600,3,3,30000,Mirpur,44
363,"Block D, South Banasree Project, Banasree, Dhaka",600,2,2,11500,Banasree,5
364,"Block D, South Banasree Project, Banasree, Dhaka",600,2,2,11500,Banasree,5
365,"Block D, South Banasree Project, Banasree, Dhaka",600,2,2,11500,Banasree,5
366,"Block D, South Banasree Project, Banasree, Dhaka",600,2,2,11500,Banasree,5
367,"Block C, South Banasree Project, Banasree, Dhaka",600,2,2,12000,Banasree,5
368,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",800,2,3,20000,Dhanmondi,14
369,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",800,2,2,20000,Dhanmondi,14
370,"Block A, Rajuk Uttara Apartment Project, Sector 18, Uttara, Dhaka",1654,3,4,14000,Uttara,72
371,"Block B, Section 1, Mirpur, Dhaka",700,2,2,13000,Mirpur,44
372,"Block H, Banasree, Dhaka",1000,2,2,14000,Banasree,5
373,"Vashantek, Cantonment, Dhaka",850,3,2,16000,Cantonment,11
374,"Natun Bazar, Badda, Dhaka",700,2,2,15000,Badda,3
375,"Block D, Section 12, Mirpur, Dhaka",650,2,2,10000,Mirpur,44
376,"Kalachandpur, Dhaka",500,2,1,12000,Kalachandpur,29
377,"Kalachandpur, Dhaka",350,1,1,12000,Kalachandpur,29
378,"East Monipur, Mirpur, Dhaka",1520,3,3,25000,Mirpur,44
379,"Moneshwar, Hazaribag, Dhaka",700,2,2,11000,Hazaribag,20
380,"East Monipur, Mirpur, Dhaka",600,2,1,10000,Mirpur,44
381,"Avenue 5, Block C, Section 11, Mirpur, Dhaka",650,2,2,12000,Mirpur,44
382,"Tolarbag, Section 1, Mirpur, Dhaka",650,2,2,12000,Mirpur,44
383,"West Shewrapara, Mirpur, Dhaka",700,2,2,13500,Mirpur,44
384,"Farmgate, Tejgaon, Dhaka",850,2,2,22000,Farmgate,17
385,"Old Elephant Road, Maghbazar, Dhaka",850,2,2,18000,Elephant Road,15
386,"Section 10, Mirpur, Dhaka",1150,3,2,20000,Mirpur,44
387,"Mirpur, Dhaka",1170,2,3,15000,Mirpur,44
388,"Block C, Section 12, Mirpur, Dhaka",650,2,2,11000,Mirpur,44
389,"Block B, Nobodoy Housing Society, Mohammadpur, Dhaka",800,2,2,14000,Mohammadpur,46
390,"Block B, Nobodoy Housing Society, Mohammadpur, Dhaka",800,2,2,14000,Mohammadpur,46
391,"Block B, Section 12, Mirpur, Dhaka",1700,3,3,20000,Mirpur,44
392,"Sector 11, Uttara, Dhaka",2150,3,3,55000,Uttara,72
393,"Mazar Road, 2nd Colony, Mirpur, Dhaka",650,2,2,12500,Mirpur,44
394,"Sector 14, Uttara, Dhaka",900,2,2,18000,Uttara,72
395,"Janata Housing, Shah Ali Bag, Section 1, Mirpur, Dhaka",700,2,2,9000,Mirpur,44
396,"Block B, Dhaka Uddan, Mohammadpur, Dhaka",600,2,1,12000,Mohammadpur,46
397,"West Rampura, Rampura, Dhaka",500,2,1,10000,Rampura,56
398,"West Agargaon, Agargaon, Dhaka",900,2,2,16000,Agargaon,2
399,"Tali office Road, Hazaribag, Dhaka",350,1,1,10000,Hazaribag,20
400,"Mazar Road, 2nd Colony, Mirpur, Dhaka",650,2,2,11000,Mirpur,44
401,"Block E, Section 12, Mirpur, Dhaka",650,2,2,12500,Mirpur,44
402,"Road No 10, Block C, Section 11, Mirpur, Dhaka",650,2,2,10000,Mirpur,44
403,"Block C, Khilgaon, Dhaka",1265,3,3,28000,Khilgaon,33
404,"Khilgaon, Dhaka",650,2,2,15500,Khilgaon,33
405,"Block B, Dhaka Uddan, Mohammadpur, Dhaka",850,2,2,12000,Mohammadpur,46
406,"Block E, Section 12, Mirpur, Dhaka",650,2,2,11000,Mirpur,44
407,"Block E, Section 12, Mirpur, Dhaka",650,2,2,11500,Mirpur,44
408,"Block D, Section 12, Mirpur, Dhaka",650,2,2,12000,Mirpur,44
409,"Sector 14, Uttara, Dhaka",900,2,2,20000,Uttara,72
410,"Baitul Aman Housing Society, Adabor, Dhaka",780,2,2,15000,Adabor,0
411,"Manikdi, Cantonment, Dhaka",550,2,1,10500,Cantonment,11
412,"Block E, Section 12, Mirpur, Dhaka",650,2,2,12500,Mirpur,44
413,"Adabor, Dhaka",1527,3,3,22000,Adabor,0
414,"South Maniknagar, Maniknagar, Dhaka",650,2,1,12500,Maniknagar,42
415,"Agargaon, Dhaka",600,1,1,10000,Agargaon,2
416,"Sector 12, Uttara, Dhaka",900,2,2,16500,Uttara,72
417,"1st Colony, Mirpur, Dhaka",1020,3,2,15000,Mirpur,44
418,"West Rampura, Rampura, Dhaka",850,2,2,16000,Rampura,56
419,"Block F, Section 1, Mirpur, Dhaka",650,2,1,11000,Mirpur,44
420,"Block B, Bochila City Developers Ltd, Bochila, Mohammadpur, Dhaka",1300,3,3,19000,Mohammadpur,46
421,"East Nakhalpara, Tejgaon, Dhaka",500,2,1,15500,Tejgaon,69
422,"Ullan, West Rampura, Rampura, Dhaka",850,2,2,13500,Rampura,56
423,"Block B, Dhaka Uddan, Mohammadpur, Dhaka",1000,3,2,14000,Mohammadpur,46
424,"Block E, Section 1, Mirpur, Dhaka",650,2,2,11000,Mirpur,44
425,"Block A, Bochila City Developers Ltd, Bochila, Mohammadpur, Dhaka",1400,3,3,18000,Mohammadpur,46
426,"Block E, Section 1, Mirpur, Dhaka",550,2,1,11000,Mirpur,44
427,"Block A, Bochila City Developers Ltd, Bochila, Mohammadpur, Dhaka",1400,3,3,17000,Mohammadpur,46
428,"Mohammadi Housing LTD., Mohammadpur, Dhaka",950,3,2,22000,Mohammadpur,46
429,"East Nakhalpara, Tejgaon, Dhaka",500,2,1,14500,Tejgaon,69
430,"West Rampura, Rampura, Dhaka",800,2,2,14000,Rampura,56
431,"Agargaon, Dhaka",1200,3,4,23000,Agargaon,2
432,"Ullan, West Rampura, Rampura, Dhaka",600,1,1,10000,Rampura,56
433,"Block E, Section 12, Mirpur, Dhaka",650,2,2,12500,Mirpur,44
434,"Nikunja 2, Nikunja, Dhaka",800,2,2,16000,Nikunja,52
435,"Block C, Section 13, Mirpur, Dhaka",500,1,2,10000,Mirpur,44
436,"Block F, Section 1, Mirpur, Dhaka",650,2,2,12000,Mirpur,44
437,"Nayatola, Maghbazar, Dhaka",800,2,2,16000,Maghbazar,40
438,"Block C, Banasree, Dhaka",900,2,1,14000,Banasree,5
439,"Lalmatia, Dhaka",1400,3,3,30000,Lalmatia,38
440,"Block E, Banasree, Dhaka",1600,3,3,27000,Banasree,5
441,"Block A, Section 10, Mirpur, Dhaka",650,2,2,11500,Mirpur,44
442,"West Rampura, Rampura, Dhaka",900,2,2,14000,Rampura,56
443,"Sector 10, Uttara, Dhaka",1400,3,3,20000,Uttara,72
444,"West Rampura, Rampura, Dhaka",600,2,1,11500,Rampura,56
445,"Shimulbag, West Rampura, Rampura, Dhaka",700,2,1,12000,Rampura,56
446,"Block D, Bashundhara R-A, Dhaka",1451,3,2,30000,Bashundhara,10
447,"Gulshan 2, Gulshan, Dhaka",1654,3,3,75000,Gulshan,18
448,"Block C, Banasree, Dhaka",900,2,1,14000,Banasree,5
449,"Sector 10, Uttara, Dhaka",1100,3,3,18000,Uttara,72
450,"Sultanganj, Rayer Bazaar, Hazaribag, Dhaka",600,2,1,10500,Hazaribag,20
451,"Block B, Nobodoy Housing Society, Mohammadpur, Dhaka",800,2,2,12500,Mohammadpur,46
452,"West Rampura, Rampura, Dhaka",700,2,1,11000,Rampura,56
453,"Sector 10, Uttara, Dhaka",1500,3,3,20000,Uttara,72
454,"West Rampura, Rampura, Dhaka",1250,3,3,25000,Rampura,56
455,"Block C, Banasree, Dhaka",700,2,1,13000,Banasree,5
456,"Block K, South Banasree Project, Banasree, Dhaka",750,2,2,14000,Banasree,5
457,"Block K, South Banasree Project, Banasree, Dhaka",600,2,2,10000,Banasree,5
458,"Mirpur, Dhaka",800,2,2,11000,Mirpur,44
459,"Block B, Dhaka Uddan, Mohammadpur, Dhaka",1200,3,3,15000,Mohammadpur,46
460,"Block B, Dhaka Uddan, Mohammadpur, Dhaka",1200,3,3,16000,Mohammadpur,46
461,"Block B, Dhaka Uddan, Mohammadpur, Dhaka",1200,3,3,16000,Mohammadpur,46
462,"Block B, Dhaka Uddan, Mohammadpur, Dhaka",1200,3,3,16000,Mohammadpur,46
463,"Block B, Dhaka Uddan, Mohammadpur, Dhaka",1200,3,3,16000,Mohammadpur,46
464,"Block K, South Banasree Project, Banasree, Dhaka",980,3,2,14000,Banasree,5
465,"Block K, South Banasree Project, Banasree, Dhaka",650,2,2,14000,Banasree,5
466,"Tikatuli, Sutrapur, Dhaka",800,2,2,18000,Sutrapur,67
467,"Vashantek, Cantonment, Dhaka",700,2,2,13000,Cantonment,11
468,"Vashantek, Cantonment, Dhaka",700,2,2,13000,Cantonment,11
469,"Block B, Bochila West Dhanmondi R/A, Bochila, Mohammadpur, Dhaka",1050,3,2,13000,Dhanmondi,14
470,"Block B, Bochila West Dhanmondi R/A, Bochila, Mohammadpur, Dhaka",1050,3,2,13000,Dhanmondi,14
471,"Block B, Bochila West Dhanmondi R/A, Bochila, Mohammadpur, Dhaka",1050,3,2,13000,Dhanmondi,14
472,"Block B, Bochila West Dhanmondi R/A, Bochila, Mohammadpur, Dhaka",1050,3,2,13000,Dhanmondi,14
473,"Indira Road, Tejgaon, Dhaka",850,2,2,20000,Tejgaon,69
474,"Taltola, Agargaon, Dhaka",1000,3,2,16000,Taltola,68
475,"West Rampura, Rampura, Dhaka",800,2,2,14000,Rampura,56
476,"Janata Housing, Sher- E- Banglanagar, West Agargaon, Agargaon, Dhaka",1100,3,3,17500,Sher- E- Banglanagar,63
477,"Jahuri Moholla, Mohammadpur, Dhaka",800,2,2,14000,Mohammadpur,46
478,"Sultanganj, Rayer Bazaar, Hazaribag, Dhaka",600,2,1,10000,Hazaribag,20
479,"Nabi Nagar Housing, Mohammadpur, Dhaka",750,2,2,10000,Mohammadpur,46
480,"Nabi Nagar Housing, Mohammadpur, Dhaka",750,2,2,10000,Mohammadpur,46
481,"Block B, Section 12, Mirpur, Dhaka",800,2,2,16000,Mirpur,44
482,"Agargaon, Dhaka",1200,3,3,17000,Agargaon,2
483,"Block E, Section 1, Mirpur, Dhaka",650,2,2,12000,Mirpur,44
484,"West Rampura, Rampura, Dhaka",800,2,2,14000,Rampura,56
485,"West Nakhalpara, Tejgaon, Dhaka",570,2,1,15000,Tejgaon,69
486,"Tikatuli, Sutrapur, Dhaka",650,2,2,15000,Sutrapur,67
